21000140102|Abacavir 300 mg 60 comprimidos
31000140104|Abacavir 20 mg/ml solución/suspensión oral 240 ml 1 frasco
41000140105|Acarbosa 50 mg 100 comprimidos
51000140107|Acarbosa 50 mg 30 comprimidos
61000140109|Acarbosa 100 mg 100 comprimidos
71000140101|Acarbosa 100 mg 30 comprimidos
81000140103|Aceclofenaco 100 mg 500 comprimidos
91000140100|Aceclofenaco 100 mg 20 comprimidos
101000140101|Aceclofenaco 100 mg 40 comprimidos
121000140107|Aceclofenaco 15 mg/g crema 60 g 1 tubo
141000140104|Aceclofenaco 100 mg solución/suspensión oral 20 sobres
151000140102|Aceclofenaco 100 mg solución/suspensión oral 40 sobres
161000140100|Abacavir/Lamivudina 600 mg/300 mg 30 comprimidos
181000140106|Acetazolamida 250 mg 20 comprimidos
221000140101|Acetilcisteína 600 mg solución/suspensión oral 20 sobres
231000140103|Acetilcisteína 600 mg solución/suspensión oral 10 sobres
251000140106|Acetilcisteína 600 mg 20 comprimidos efervescentes
261000140108|Acetilcisteína 600 mg 10 comprimidos efervescentes
281000140102|Acetilcisteína 600 mg solución/suspensión oral efervescente 20 sobres
291000140104|Acetilcisteína 600 mg solución/suspensión oral efervescente 10 sobres
311000140100|Acetilcisteína 200 mg solución/suspensión oral 30 sobres
331000140107|Acetilcisteína 200 mg solución/suspensión oral 20 sobres
371000140105|Acetilcisteína 100 mg solución/suspensión oral 30 sobres
401000140108|Acetilcisteína 100 mg solución/suspensión oral 20 sobres
421000140102|Acetilcisteína 200 mg 30 comprimidos efervescentes
441000140105|Espironolactona 100 mg 20 comprimidos
451000140107|Espironolactona 100 mg 500 comprimidos
461000140109|Espironolactona 25 mg 50 comprimidos
471000140101|Espironolactona 25 mg 20 comprimidos
491000140100|Espironolactona/Altizida 25 mg/15 mg 40 comprimidos
511000140107|Espironolactona/Clortalidona 50 mg/50 mg 20 comprimidos
521000140103|Amilorida/Hidroclorotiazida 5 mg/50 mg 20 comprimidos
